"Word","IdNum","Class","HeadCnt","MannLog"
"                     Ranch",30486,"N",5,0.301
"                     Rappe",30535,"N",5,0.301
"                     Rappe",30536,"N",5,0.301
"                     Rasen",30560,"N",5,0.9542
"                     Rasse",30589,"N",5,1.0792
"                     Raten",30621,"N",5,0.699
"                     Ratio",30636,"N",5,0.699
"                     Ratte",30672,"N",5,0.8451
"                     Rauch",30706,"N",5,1.1139
"                     Recht",30883,"N",5,2.4166
"                     Regal",31035,"N",5,0.699
"                     Regel",31040,"N",5,1.9294
"                     Regen",31050,"N",5,1.6812
"                     Regie",31073,"N",5,1.3617
"                     Reich",31153,"N",5,1.8513
"                     Reife",31170,"N",5,0.699
"                     Reihe",31180,"N",5,2.1875
"                     Reise",31255,"N",5,1.6628
"                     Remis",31460,"N",5,0.301
"                     Rente",31514,"N",5,1.5563
"                     Revue",31762,"N",5,0.301
"                     Rhein",31795,"N",5,1.6902
"                     Riese",31860,"N",5,0.4771
"                     Riese",31861,"N",5,0.4771
"                     Rinde",31887,"N",5,0.301
"                     Rippe",31931,"N",5,0.6021
"                     Ritus",31982,"N",5,0.4771
"                     Ritze",31984,"N",5,0.301
"                     Rohoel",32040,"N",5,0.4771
"                     Roehre",32045,"N",5,0.7782
"                     Rolle",32076,"N",5,2.2304
"                     Roman",32097,"N",5,1.7709
"                     Roemer",32119,"N",5,1.301
"                     Rouge",32268,"N",5,0.301
"                     Route",32272,"N",5,0.6021
"                     Rubin",32294,"N",5,0.301
"                     Rudel",32406,"N",5,0.4771
"                     Ruder",32409,"N",5,0.6021
"                     Ruine",32479,"N",5,1.1761
"                     Rumor",32498,"N",5,0.4771
"                     Rumpf",32506,"N",5,0.7782
"                     Runde",32515,"N",5,1.4624
"                     Russe",32570,"N",5,1.6128
"                     Saebel",32621,"N",5,0.4771
"                     Sache",32635,"N",5,2.4183
"                     Sahne",32709,"N",5,0.7782
"                     Saite",32722,"N",5,0.301
"                     Salat",32743,"N",5,0.7782
"                     Saldo",32755,"N",5,0.301
"                     Salon",32762,"N",5,0.6021
"                     Salto",32770,"N",5,0.4771
"                     Salut",32771,"N",5,0.699
"                     Salve",32775,"N",5,0.4771
"                     Samen",32806,"N",5,0.301
"                     Satan",32937,"N",5,0.9031
"                     Sauer",33013,"N",5,0.301
"                     Saeule",33062,"N",5,1.0792
"                     Sauna",33074,"N",5,1.0414
"                     Saeure",33075,"N",5,0.301
"                     Scala",33094,"N",5,0.4771
"                     Schaf",33152,"N",5,1.1461
"                     Schah",33197,"N",5,0.9542
"                     Schal",33202,"N",5,0.301
"                     Scham",33251,"N",5,0.7782
"                     Schar",33296,"N",5,1
"                     Schau",33382,"N",5,1.1461
"                     Scheu",33568,"N",5,0.8451
"                     Schoss",34549,"N",5,0.9542
"                     Schub",34690,"N",5,0.7782
"                     Schuh",34707,"N",5,1.5185
"                     Schuss",34843,"N",5,1.6812
"                     Sechs",35285,"N",5,0.699
"                     Seele",35342,"N",5,1.8513
"                     Segel",35413,"N",5,0.8451
"                     Segen",35423,"N",5,1
"                     Sehne",35452,"N",5,0.4771
"                     Seide",35479,"N",5,0.7782
"                     Seife",35493,"N",5,0.8451
"                     Seite",35545,"N",5,2.8075
"                     Sekte",35590,"N",5,0.301
"                     Senat",35761,"N",5,1.7782
"                     Senke",35803,"N",5,0.6021
"                     Seoul",35861,"N",5,0.699
"                     Serie",35896,"N",5,1.4914
"                     Serum",35918,"N",5,0.7782
"                     Sicht",36058,"N",5,1.6021
"                     Siena",36151,"N",5,0.301
"                     Sigel",36156,"N",5,1.0414
"                     Silbe",36176,"N",5,0.7782
"                     Sippe",36311,"N",5,0.4771
"                     Sisal",36325,"N",5,1.0792
"                     Sitte",36330,"N",5,1.1461
"                     Skala",36380,"N",5,0.6021
"                     Sodom",36511,"N",5,0.301
"                     Sohle",36528,"N",5,0.6021
"                     Sonde",36648,"N",5,0.699
"                     Sonne",36687,"N",5,1.959
